"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","Target"
100,100,46,90,57,55,91,23,46,0,0,17,35,50,85,75,'Normal'
39,85,86,49,100,11,6,0,31,35,96,67,90,100,0,85,'Normal'
77,90,8,100,1,64,55,31,60,0,0,27,29,65,100,89,'Normal'
70,98,0,99,36,48,93,0,4,0,16,46,100,79,48,100,'Normal'
4,62,61,32,53,0,0,11,53,42,100,74,80,100,12,74,'Normal'
6,36,60,64,74,100,19,83,62,51,100,18,40,0,0,28,'Normal'
39,84,0,86,40,42,76,0,20,9,57,54,100,96,44,100,'Normal'
90,100,0,86,42,44,53,0,17,15,73,56,100,99,8,99,'Normal'
20,86,0,73,82,85,35,100,19,45,30,0,100,33,24,54,'Normal'
73,91,21,85,50,37,46,0,0,24,54,63,100,100,30,78,'Normal'
0,100,31,67,98,38,86,0,15,8,65,45,100,84,26,86,'Normal'
35,95,51,60,72,15,22,0,0,36,53,66,100,99,33,100,'Normal'
68,100,0,90,62,47,100,0,15,5,53,55,97,100,18,84,'Normal'
60,73,59,100,19,73,53,36,51,0,0,20,50,52,100,80,'Normal'
68,89,17,100,28,63,72,28,36,0,0,32,47,64,100,95,'Normal'
0,75,15,53,77,22,33,0,20,34,72,67,100,100,5,89,'Normal'
100,98,24,100,6,68,78,41,70,0,0,9,32,53,83,93,'Normal'
24,49,98,70,100,100,49,74,84,35,69,0,0,18,69,45,'Normal'
9,41,73,80,0,100,28,56,92,16,35,0,22,42,100,74,'Normal'
11,17,54,54,99,92,42,100,31,64,100,35,75,0,0,13,'Normal'
20,69,35,100,100,95,61,53,19,11,67,0,35,38,0,80,'Normal'
44,93,4,83,43,42,40,0,0,16,48,52,100,86,49,100,'Normal'
41,94,22,69,90,42,100,3,20,0,0,37,47,73,40,100,'Normal'
73,83,27,87,22,41,0,0,8,36,55,68,100,100,42,85,'Normal'
56,95,42,62,38,17,0,0,27,38,64,69,100,100,53,94,'Normal'
89,76,40,100,9,61,100,29,91,0,0,25,64,63,91,100,'Normal'
76,93,28,69,100,75,34,100,38,41,0,0,72,12,21,52,'Normal'
5,76,29,100,100,81,55,39,0,0,61,3,15,44,21,83,'Normal'
77,99,0,73,100,100,12,84,6,48,12,0,99,39,16,51,'Normal'
32,66,87,42,73,0,0,7,37,43,100,72,92,100,30,76,'Normal'
53,64,100,88,52,100,29,66,60,27,30,0,0,24,46,53,'Normal'
82,96,63,62,100,25,45,0,18,32,77,65,97,100,0,98,'Normal'
53,79,0,92,19,58,80,27,57,0,26,34,80,68,100,100,'Normal'
66,72,27,100,0,75,45,39,63,0,11,24,50,61,100,87,'Normal'
56,91,12,77,65,37,74,0,0,18,50,59,100,99,24,100,'Normal'
8,67,47,100,100,83,72,42,32,5,80,0,45,35,0,69,'Normal'
56,63,71,100,1,81,48,42,76,0,0,13,27,56,100,86,'Normal'
81,100,49,81,76,38,50,0,0,17,58,51,100,91,30,98,'Normal'
77,100,11,67,100,72,43,99,36,32,0,0,84,2,30,46,'Normal'
66,82,2,100,0,67,57,37,62,0,6,22,32,60,100,84,'Normal'
100,78,43,100,2,72,51,35,46,0,0,24,50,58,76,90,'Normal'
59,77,0,77,49,38,93,0,10,6,38,45,100,79,52,100,'Normal'
100,87,70,100,50,66,69,28,35,0,0,17,44,46,92,72,'Normal'
0,86,35,67,98,33,81,0,24,22,74,60,100,100,15,99,'Normal'
53,97,0,72,66,38,95,0,29,15,71,55,100,98,15,100,'Normal'
0,45,53,36,62,0,7,6,52,38,100,70,71,100,11,84,'Normal'
90,52,79,100,0,99,19,50,66,4,16,0,34,51,100,86,'Normal'
84,72,65,100,16,73,51,36,65,0,0,5,37,39,100,61,'Normal'
11,100,17,71,73,37,100,0,9,11,27,48,92,79,0,95,'Normal'
100,100,43,78,80,39,76,0,0,10,39,46,86,82,10,97,'Normal'
33,90,57,56,91,20,9,0,0,33,76,64,100,100,4,96,'Normal'
38,42,96,71,100,100,32,77,43,38,62,0,0,5,49,39,'Normal'
66,48,100,82,52,100,39,64,79,29,43,0,0,26,59,56,'Normal'
1,67,44,100,100,75,64,36,17,0,100,18,42,52,0,88,'Normal'
39,100,69,58,95,10,14,0,17,42,100,66,91,100,0,100,'Normal'
0,83,18,50,63,16,23,0,3,35,50,68,100,100,13,95,'Normal'
96,90,2,68,78,32,85,0,15,26,72,67,100,100,0,71,'Normal'
88,95,60,69,74,18,10,0,0,35,67,59,100,100,36,100,'Normal'
89,79,23,71,70,30,36,0,0,26,72,63,100,100,2,76,'Normal'
59,100,6,57,100,72,26,86,64,46,0,0,91,10,35,34,'Normal'
64,75,43,100,40,60,100,28,81,0,0,6,38,44,72,75,'Normal'
56,100,39,68,70,27,29,0,0,33,62,60,100,90,30,95,'Normal'
0,72,59,43,90,7,27,0,20,37,67,70,100,100,22,86,'Normal'
72,97,64,54,69,0,0,13,28,50,100,73,96,100,19,90,'Normal'
15,62,56,100,100,88,74,43,41,0,88,8,65,50,0,60,'Normal'
0,69,49,35,63,0,1,6,41,41,100,72,99,100,19,76,'Normal'
69,70,61,100,2,84,23,41,48,0,0,23,43,59,100,84,'Normal'
45,71,63,100,20,78,44,39,51,0,0,11,40,40,100,52,'Normal'
59,100,10,71,99,78,31,96,0,45,41,0,100,35,23,61,'Normal'
68,82,38,65,74,27,34,0,0,33,53,66,100,100,16,95,'Normal'
32,68,0,100,38,71,100,37,75,0,13,18,35,59,90,95,'Normal'
75,75,38,100,12,64,88,31,89,0,0,20,29,62,100,96,'Normal'
85,96,38,77,100,40,68,0,0,20,51,59,98,100,32,86,'Normal'
23,78,51,100,100,78,70,40,40,0,78,2,37,37,0,74,'Normal'
42,100,20,71,100,84,20,97,0,48,14,0,73,24,8,58,'Normal'
78,96,9,75,100,66,82,100,17,54,0,0,81,18,24,61,'Normal'
72,72,51,100,4,75,44,38,52,0,0,17,41,53,100,81,'Normal'
57,89,0,100,1,68,43,34,30,0,1,31,41,65,100,86,'Normal'
20,77,61,100,100,80,48,46,9,7,68,0,25,39,0,82,'Normal'
84,90,0,91,51,56,98,19,36,0,43,40,100,75,62,100,'Normal'
42,99,55,61,71,24,18,0,0,30,64,61,100,94,9,100,'Normal'
10,81,61,100,100,76,64,38,35,0,83,10,51,48,0,76,'Normal'
